run_id,technology,migration_method,network_migration,checkpoint_ms,checkpoint_us,checkpoint_ns,archive_bytes,transfer_ms,restore_ms,downtime_ms,bandwidth_mbps,src_arch,dst_arch,same_arch,success,notes,timestamp,profile_name,predump_ms,final_dump_ms,total_ms,lazy_pages_active_ms,lazy_pages_log_bytes
30-04-2026-direct-cold-0032,WASM,cold,no,1,119.0,118513.0,2015,3125,1994,5120,0.01,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-04-30T21:39:53.336191,1_WiFi_6,0,1,11137,0,0
30-04-2026-direct-cold-0033,WASM,cold,no,1,162.0,161316.0,2016,3037,2051,5089,0.01,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-04-30T21:40:09.833992,1_WiFi_6,0,1,10982,0,0
30-04-2026-direct-cold-0034,WASM,cold,no,1,174.0,173638.0,2018,3005,1894,4900,0.01,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-04-30T21:40:26.840855,1_WiFi_6,0,1,10760,0,0
30-04-2026-direct-cold-0035,WASM,cold,no,1,212.0,211528.0,2016,3076,2022,5099,0.01,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-04-30T21:40:43.352328,1_WiFi_6,0,1,10940,0,0
30-04-2026-direct-cold-0036,WASM,cold,no,1,126.0,125047.0,2016,3124,1928,5053,0.01,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-04-30T21:40:59.525698,1_WiFi_6,0,1,10695,0,0
30-04-2026-direct-cold-0037,WASM,cold,no,1,216.0,215632.0,2017,2902,2012,4915,0.01,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-04-30T21:41:16.152502,1_WiFi_6,0,1,11052,0,0
30-04-2026-direct-cold-0038,WASM,cold,no,1,129.0,128876.0,2018,3060,1926,4987,0.01,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-04-30T21:41:32.953813,1_WiFi_6,0,1,10830,0,0
30-04-2026-direct-cold-0039,WASM,cold,no,1,162.0,161710.0,2019,3106,2040,5147,0.01,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-04-30T21:41:49.513966,1_WiFi_6,0,1,11126,0,0
30-04-2026-direct-cold-0040,WASM,cold,no,1,205.0,204492.0,2017,3131,1932,5064,0.01,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-04-30T21:42:06.035603,1_WiFi_6,0,1,10968,0,0
30-04-2026-direct-cold-0041,WASM,cold,no,1,169.0,168971.0,2018,3625,1971,5597,0.0,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-04-30T21:42:23.109426,1_WiFi_6,0,1,11555,0,0
