metric,transfer_mode,profile_label,benchmark,method_label,successful_rows
migration_time,host,WiFi 6,Game of Life (CRIU),Cold,40
migration_time,host,WiFi 6,Game of Life (CRIU),Pre-copy,40
migration_time,host,WiFi 6,Game of Life (CRIU),Post-copy,40
migration_time,host,WiFi 6,WebAssembly,Wasm,40
migration_time,host,5G,Counter (CRIU),Cold,40
migration_time,host,5G,Counter (CRIU),Pre-copy,40
migration_time,host,5G,Counter (CRIU),Post-copy,40
migration_time,host,5G,TCP Client (CRIU),Cold,40
migration_time,host,5G,TCP Client (CRIU),Pre-copy,40
migration_time,host,5G,TCP Client (CRIU),Post-copy,40
migration_time,host,5G,Game of Life (CRIU),Cold,40
migration_time,host,5G,Game of Life (CRIU),Pre-copy,39
migration_time,host,5G,Game of Life (CRIU),Post-copy,40
migration_time,host,5G,WebAssembly,Wasm,40
migration_time,host,LTE,Counter (CRIU),Cold,40
migration_time,host,LTE,Counter (CRIU),Pre-copy,40
migration_time,host,LTE,Counter (CRIU),Post-copy,40
migration_time,host,LTE,TCP Client (CRIU),Cold,40
migration_time,host,LTE,TCP Client (CRIU),Pre-copy,40
migration_time,host,LTE,TCP Client (CRIU),Post-copy,40
migration_time,host,LTE,Game of Life (CRIU),Cold,40
migration_time,host,LTE,Game of Life (CRIU),Pre-copy,40
migration_time,host,LTE,WebAssembly,Wasm,40
migration_time,host,Starlink,Counter (CRIU),Cold,40
migration_time,host,Starlink,Counter (CRIU),Pre-copy,40
migration_time,host,Starlink,Counter (CRIU),Post-copy,40
migration_time,host,Starlink,TCP Client (CRIU),Cold,40
migration_time,host,Starlink,TCP Client (CRIU),Pre-copy,37
migration_time,host,Starlink,TCP Client (CRIU),Post-copy,40
migration_time,host,Starlink,Game of Life (CRIU),Cold,40
migration_time,host,Starlink,Game of Life (CRIU),Pre-copy,39
migration_time,host,Starlink,WebAssembly,Wasm,40
migration_time,host,TEE Best,Counter (CRIU),Cold,40
migration_time,host,TEE Best,Counter (CRIU),Pre-copy,39
migration_time,host,TEE Best,Counter (CRIU),Post-copy,40
migration_time,host,TEE Best,TCP Client (CRIU),Cold,20
migration_time,host,TEE Best,TCP Client (CRIU),Pre-copy,36
migration_time,host,TEE Best,TCP Client (CRIU),Post-copy,32
migration_time,host,TEE Best,Game of Life (CRIU),Cold,39
migration_time,host,TEE Best,Game of Life (CRIU),Pre-copy,40
migration_time,host,TEE Best,Game of Life (CRIU),Post-copy,1
migration_time,host,TEE Best,WebAssembly,Wasm,40
migration_time,host,TEE Avg,Counter (CRIU),Cold,40
migration_time,host,TEE Avg,Counter (CRIU),Pre-copy,39
migration_time,host,TEE Avg,Counter (CRIU),Post-copy,40
migration_time,host,TEE Avg,TCP Client (CRIU),Cold,36
migration_time,host,TEE Avg,TCP Client (CRIU),Pre-copy,30
migration_time,host,TEE Avg,TCP Client (CRIU),Post-copy,36
migration_time,host,TEE Avg,Game of Life (CRIU),Cold,39
migration_time,host,TEE Avg,Game of Life (CRIU),Pre-copy,39
migration_time,host,TEE Avg,WebAssembly,Wasm,39
migration_time,host,TEE Worst,Counter (CRIU),Cold,30
migration_time,host,TEE Worst,Counter (CRIU),Pre-copy,29
migration_time,host,TEE Worst,Counter (CRIU),Post-copy,30
migration_time,host,TEE Worst,TCP Client (CRIU),Cold,25
migration_time,host,TEE Worst,TCP Client (CRIU),Pre-copy,17
migration_time,host,TEE Worst,TCP Client (CRIU),Post-copy,10
migration_time,host,TEE Worst,WebAssembly,Wasm,30
