metric,benchmark,profile,method,fastest,slowest,successes
migration_time_ms,TCP Client (CRIU),WiFi 6,Post-copy,"\shortstack[l]{host / 17\,866\\C/T/R/O: 858/2\,683/352/13\,973}","\shortstack[l]{direct / 20\,205\\C/T/R/O: 839/1\,593/362/17\,411}",78/78
migration_time_ms,TCP Client (CRIU),5G,Cold,"\shortstack[l]{host / 15\,973\\C/T/R/O: 310/3\,165/300/12\,198}","\shortstack[l]{direct / 17\,547\\C/T/R/O: 346/1\,772/377/15\,052}",80/80
migration_time_ms,TCP Client (CRIU),5G,Pre-copy,"\shortstack[l]{direct / 33\,503\\C/T/R/O: 297/1\,720/305/31\,181\\P: 16\,707}","\shortstack[l]{host / 46\,914\\C/T/R/O: 361/3\,294/299/42\,960\\P: 29\,757}",79/80
migration_time_ms,TCP Client (CRIU),5G,Post-copy,"\shortstack[l]{host / 18\,320\\C/T/R/O: 773/3\,065/391/14\,091}","\shortstack[l]{direct / 20\,198\\C/T/R/O: 771/1\,847/355/17\,225}",80/80
migration_time_ms,TCP Client (CRIU),LTE,Cold,"\shortstack[l]{host / 18\,372\\C/T/R/O: 310/5\,533/340/12\,189}","\shortstack[l]{host / 19\,692\\C/T/R/O: 542/5\,747/556/12\,847}",80/80
migration_time_ms,TCP Client (CRIU),LTE,Pre-copy,"\shortstack[l]{direct / 41\,386\\C/T/R/O: 286/2\,963/305/37\,832\\P: 22\,225}","\shortstack[l]{host / 61\,254\\C/T/R/O: 311/5\,705/296/54\,942\\P: 42\,267}",80/80
migration_time_ms,TCP Client (CRIU),LTE,Post-copy,"\shortstack[l]{host / 20\,858\\C/T/R/O: 724/5\,521/500/14\,113}","\shortstack[l]{host / 22\,304\\C/T/R/O: 787/5\,956/505/15\,056}",80/80
migration_time_ms,TCP Client (CRIU),Starlink,Cold,"\shortstack[l]{host / 18\,868\\C/T/R/O: 314/6\,033/307/12\,214}","\shortstack[l]{direct / 21\,041\\C/T/R/O: 333/5\,160/293/15\,255}",80/80
migration_time_ms,TCP Client (CRIU),Starlink,Pre-copy,"\shortstack[l]{direct / 43\,213\\C/T/R/O: 277/3\,148/304/39\,484\\P: 23\,920}","\shortstack[l]{host / 65\,683\\C/T/R/O: 309/6\,785/316/58\,273\\P: 45\,338}",76/80
migration_time_ms,TCP Client (CRIU),Starlink,Post-copy,"\shortstack[l]{direct / 21\,444\\C/T/R/O: 764/3\,108/505/17\,067}","\shortstack[l]{direct / 23\,882\\C/T/R/O: 750/4\,276/482/18\,374}",80/80
migration_time_ms,TCP Client (CRIU),TEE Best,Cold,"\shortstack[l]{direct / 30\,404\\C/T/R/O: 328/10\,857/334/18\,885}","\shortstack[l]{host / 41\,869\\C/T/R/O: 349/28\,543/306/12\,671}",48/80
migration_time_ms,TCP Client (CRIU),TEE Best,Pre-copy,"\shortstack[l]{direct / 87\,386\\C/T/R/O: 294/9\,661/295/77\,136\\P: 56\,635}","\shortstack[l]{host / 172\,405\\C/T/R/O: 279/24\,625/343/147\,158\\P: 134\,243}",73/79
migration_time_ms,TCP Client (CRIU),TEE Best,Post-copy,"\shortstack[l]{direct / 33\,082\\C/T/R/O: 757/10\,061/1\,150/21\,114}","\shortstack[l]{host / 51\,376\\C/T/R/O: 733/34\,695/1\,133/14\,815}",66/80
migration_time_ms,TCP Client (CRIU),TEE Avg,Cold,"\shortstack[l]{direct / 49\,282\\C/T/R/O: 350/21\,707/340/26\,885}","\shortstack[l]{host / 94\,054\\C/T/R/O: 432/79\,371/413/13\,838}",74/80
migration_time_ms,TCP Client (CRIU),TEE Avg,Pre-copy,"\shortstack[l]{direct / 172\,296\\C/T/R/O: 613/25\,029/315/146\,339\\P: 121\,633}","\shortstack[l]{host / 387\,426\\C/T/R/O: 631/57\,312/323/329\,160\\P: 316\,133}",58/80
